##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	dad.chr22.2.fq
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	444112
Sequences flagged as poor quality	0
Sequence length	90
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.760920668660155	34.0	31.0	34.0	31.0	34.0
2	32.97428801743704	34.0	33.0	34.0	31.0	34.0
3	32.99548987642757	34.0	33.0	34.0	31.0	34.0
4	36.339047357423354	37.0	37.0	37.0	35.0	37.0
5	36.31910869330259	37.0	37.0	37.0	35.0	37.0
6	36.31780496811615	37.0	37.0	37.0	35.0	37.0
7	36.325431422704185	37.0	37.0	37.0	35.0	37.0
8	36.322990596966534	37.0	37.0	37.0	35.0	37.0
9	38.071020373239186	39.0	39.0	39.0	37.0	39.0
10-11	38.06693018878121	39.0	39.0	39.0	37.0	39.0
12-13	38.03533680693158	39.0	39.0	39.0	36.0	39.0
14-15	39.54824233526678	41.0	40.0	41.0	37.0	41.0
16-17	39.50490416831791	41.0	40.0	41.0	37.0	41.0
18-19	39.48399165075476	41.0	39.5	41.0	37.0	41.0
20-21	39.435717791908345	41.0	39.0	41.0	37.0	41.0
22-23	39.35688632597183	41.0	39.0	41.0	36.0	41.0
24-25	39.28816829988831	41.0	39.0	41.0	36.0	41.0
26-27	39.20169349173182	41.0	39.0	41.0	36.0	41.0
28-29	39.102216332816944	40.0	39.0	41.0	36.0	41.0
30-31	38.98199778434269	40.0	39.0	41.0	35.5	41.0
32-33	38.85841184205786	40.0	38.0	41.0	35.0	41.0
34-35	38.72934530028461	40.0	38.0	41.0	35.0	41.0
36-37	38.58267959433657	40.0	38.0	41.0	34.5	41.0
38-39	38.665853433368156	40.0	38.0	41.0	35.0	41.0
40-41	38.65638847858198	40.0	38.0	41.0	35.0	41.0
42-43	38.52864705299564	40.0	38.0	41.0	34.0	41.0
44-45	38.42200953813453	40.0	38.0	41.0	34.0	41.0
46-47	38.25024993695284	40.0	38.0	41.0	33.0	41.0
48-49	38.051956488453364	40.0	38.0	41.0	33.0	41.0
50-51	37.41025349461397	39.0	37.0	40.5	32.5	40.5
52-53	37.71119334762402	39.5	37.0	40.5	33.0	41.0
54-55	38.10139334221998	40.0	37.0	41.0	34.0	41.0
56-57	37.94704263789315	40.0	37.0	41.0	33.5	41.0
58-59	37.70178918831286	40.0	36.5	41.0	33.0	41.0
60-61	37.41189272075513	39.0	36.0	41.0	33.0	41.0
62-63	37.11337230248226	39.0	35.5	41.0	32.5	41.0
64-65	36.737088842454156	39.0	35.0	41.0	32.0	41.0
66-67	36.34923285117267	38.0	35.0	40.0	31.0	41.0
68-69	35.96644540116007	37.0	35.0	40.0	31.0	41.0
70-71	35.556480122131354	37.0	35.0	39.5	31.0	41.0
72-73	35.13245307490003	36.0	35.0	39.0	30.0	41.0
74-75	34.69017725258493	36.0	34.0	39.0	30.0	40.5
76-77	34.237637127571425	35.0	34.0	37.5	29.0	40.0
78-79	33.85066154483554	35.0	34.0	37.0	29.0	39.0
80-81	33.40844651799546	35.0	34.0	37.0	29.0	39.0
82-83	33.00689803472998	35.0	34.0	36.0	27.5	38.5
84-85	32.60645287675181	35.0	33.0	36.0	27.0	37.0
86-87	32.18631786576359	35.0	33.0	35.5	26.0	37.0
88-89	31.744930332889	35.0	33.0	35.0	25.0	36.5
90	31.4068973592247	35.0	33.0	35.0	25.0	36.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1102	30-31	-0.03861826226103915
1102	32-33	-0.020176277665662212
1102	34-35	-0.17058127020137448
1102	36-37	-0.15605912811965794
1102	38-39	-0.15489411804780673
1102	40-41	-0.07037250164375308
1102	42-43	-0.11992213932777673
1102	44-45	-0.00459652631170826
1102	46-47	-0.15179157890447925
1102	48-49	-0.10219944155052474
1102	50-51	-0.15922359807554898
1102	52-53	-0.20280324834744334
1102	54-55	-0.18813600520974205
1102	56-57	-0.12905712970991345
1102	58-59	-0.33787100340259
1102	60-61	-0.36649212176214974
1102	62-63	-0.2500971673078993
1102	64-65	-0.22617011254445885
1102	66-67	-0.20511846968657466
1102	68-69	-0.14800229346134586
1102	70-71	-0.1407965388126371
1102	72-73	-0.12199408638475973
1102	74-75	-0.15702770081337292
1102	76-77	-0.2969082553156852
1102	78-79	-0.4027147484331266
1102	80-81	-0.18922221500091752
1102	82-83	-0.49143988984032916
1102	84-85	-0.40742596743933746
1102	86-87	-0.3797570318060295
1102	88-89	-0.33134216689006735
1102	90	-0.294040995348837
1103	1	-0.1703718496552895
1103	2	-0.18123876190524157
1103	3	-0.19109805665659252
1103	4	-0.19422183942204185
1103	5	-0.18442901234048747
1103	6	-0.24234971953477213
1103	7	-0.19647834781886786
1103	8	-0.1896929968691481
1103	9	-0.03905056943663965
1103	10-11	-0.08067481654607889
1103	12-13	-0.0822465675855284
1103	14-15	0.06718921348409168
1103	16-17	0.11339979219575724
1103	18-19	0.10445180262141918
1103	20-21	0.0227649967200918
1103	22-23	0.010056807288428615
1103	24-25	0.00555997276336484
1103	26-27	0.03596335637311654
1103	28-29	0.06795908451242383
1103	30-31	0.14332042733672523
1103	32-33	0.18280386574826935
1103	34-35	0.17886484551362258
1103	36-37	0.11472217509297167
1103	38-39	0.08174478345444669
1103	40-41	-0.05476346543078847
1103	42-43	0.024015642107876545
1103	44-45	0.14856832403074804
1103	46-47	0.11022619647675924
1103	48-49	0.25514697499315986
1103	50-51	0.1871279079599404
1103	52-53	0.11567666802596221
1103	54-55	0.11288780566550116
1103	56-57	0.018314639692597723
1103	58-59	-0.014478970633078347
1103	60-61	0.03606492217019053
1103	62-63	-0.04833618422241415
1103	64-65	-0.014320016052238316
1103	66-67	0.0834973399021024
1103	68-69	0.15412124496526047
1103	70-71	0.14951261470459798
1103	72-73	0.08959112949293768
1103	74-75	0.03307735273035206
1103	76-77	0.07689268690250373
1103	78-79	0.016556971777262675
1103	80-81	0.04346949234384567
1103	82-83	-0.06956193358347207
1103	84-85	-0.06938982069548416
1103	86-87	-0.09562172511211742
1103	88-89	-0.15069713529359774
1103	90	-0.07164533939091555
1104	1	-0.17813885822383213
1104	2	-0.2815133260563769
1104	3	-0.30374900539447935
1104	4	-0.23967118479797023
1104	5	-0.1699014407995847
1104	6	-0.3203999375497162
1104	7	-0.29656755220552355
1104	8	-0.2650540501760119
1104	9	-0.14952354094192088
1104	10-11	-0.120894265129742
1104	12-13	-0.1099875388996594
1104	14-15	-0.01224468621020236
1104	16-17	0.007657477023336412
1104	18-19	-0.0718723973991402
1104	20-21	-0.04389862888793772
1104	22-23	0.007834662299444517
1104	24-25	0.045816348487605296
1104	26-27	0.02786943400121089
1104	28-29	-0.08022337610948682
1104	30-31	0.014943585143051052
1104	32-33	0.09268136901016533
1104	34-35	0.07935090805226963
1104	36-37	-0.008610130072916888
1104	38-39	-0.017114240307805062
1104	40-41	-0.023041965580667068
1104	42-43	-0.0375375568685854
1104	44-45	-0.12294245941836834
1104	46-47	0.050773138113051175
1104	48-49	6.462082119469414E-4
