	##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	dad.chr22.1.fq
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	444112
Sequences flagged as poor quality	0
Sequence length	89-90
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.86069730158158	34.0	31.0	34.0	31.0	34.0
2	33.09741911950139	34.0	33.0	34.0	31.0	34.0
3	33.15156537089743	34.0	33.0	34.0	31.0	34.0
4	36.502307976366325	37.0	37.0	37.0	35.0	37.0
5	36.44285000180135	37.0	37.0	37.0	35.0	37.0
6	36.442642846849445	37.0	37.0	37.0	35.0	37.0
7	36.420087725618764	37.0	37.0	37.0	35.0	37.0
8	36.417480275245886	37.0	37.0	37.0	35.0	37.0
9	38.22499504629463	39.0	39.0	39.0	37.0	39.0
10-11	38.1956859981266	39.0	39.0	39.0	37.0	39.0
12-13	38.15431805490507	39.0	39.0	39.0	37.0	39.0
14-15	39.667362061822246	41.0	40.0	41.0	37.0	41.0
16-17	39.63564258565407	41.0	40.0	41.0	37.0	41.0
18-19	39.57182985373059	41.0	40.0	41.0	37.0	41.0
20-21	39.50208618546673	41.0	39.0	41.0	37.0	41.0
22-23	39.39810002882156	41.0	39.0	41.0	36.0	41.0
24-25	39.29938844255503	40.5	39.0	41.0	36.0	41.0
26-27	39.13147246640487	40.0	39.0	41.0	36.0	41.0
28-29	38.97940834744389	40.0	38.0	41.0	35.5	41.0
30-31	38.90704709622798	40.0	38.0	41.0	35.0	41.0
32-33	38.947978212703106	40.0	38.0	41.0	35.5	41.0
34-35	39.079395512843604	40.0	39.0	41.0	36.0	41.0
36-37	39.094103514428795	40.0	39.0	41.0	35.0	41.0
38-39	39.037890216882225	40.0	39.0	41.0	35.0	41.0
40-41	38.9314778704471	40.0	38.0	41.0	35.0	41.0
42-43	38.82293655654429	40.0	38.0	41.0	35.0	41.0
44-45	38.704422533054725	40.0	38.0	41.0	35.0	41.0
46-47	38.54864313506503	40.0	38.0	41.0	34.0	41.0
48-49	38.33156951399647	40.0	38.0	41.0	34.0	41.0
50-51	38.08781456029109	40.0	37.5	41.0	33.0	41.0
52-53	37.87884024750513	40.0	37.0	41.0	33.0	41.0
54-55	37.62037729221458	40.0	36.5	41.0	33.0	41.0
56-57	37.333101785135284	39.0	36.0	41.0	32.0	41.0
58-59	36.955323206758656	39.0	35.5	40.5	31.5	41.0
60-61	36.59173924595598	38.5	35.0	40.0	31.0	41.0
62-63	36.22129327737147	38.0	35.0	40.0	30.5	41.0
64-65	35.84394702237273	37.5	35.0	40.0	30.0	41.0
66-67	35.38990389811579	37.0	34.0	40.0	29.0	41.0
68-69	34.92059435457722	36.5	34.0	39.0	29.0	41.0
70-71	34.447697878012754	36.0	34.0	39.0	28.0	40.0
72-73	34.018847723096876	35.0	33.0	38.5	28.0	40.0
74-75	33.50795970385849	35.0	33.0	37.5	26.5	39.5
76-77	32.39988674028173	34.5	31.5	36.0	26.0	39.0
78-79	32.99926707677342	35.0	33.0	37.0	27.0	39.0
80-81	32.80515050257593	35.0	33.0	36.0	27.0	38.5
82-83	32.3805627859639	35.0	33.0	36.0	26.0	37.0
84-85	31.907763131822602	35.0	32.0	35.0	25.0	37.0
86-87	31.44231635263177	35.0	32.0	35.0	24.5	36.5
88-89	30.93462572504233	34.0	32.0	35.0	21.5	36.0
90	30.533011942933314	34.0	31.0	35.0	18.0	36.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1102	30-31	-0.20337531526744357
1102	32-33	-0.19391103987072
1102	34-35	-0.08464847365378603
1102	36-37	-0.10554452691320648
1102	38-39	-0.025853361624029958
1102	40-41	-0.18788419817312985
1102	42-43	-0.21618484644262992
1102	44-45	-0.31774752758367697
1102	46-47	-0.16807216226697363
1102	48-49	-0.2524121926554699
1102	50-51	-0.2122793914330643
1102	52-53	-0.2710461722025528
1102	54-55	-0.20894112485889593
1102	56-57	-0.28555014823248825
1102	58-59	-0.4388745677180097
1102	60-61	-0.540452221507671
1102	62-63	-0.5317861637173991
1102	64-65	-0.4583463936186831
1102	66-67	-0.6830770874047474
1102	68-69	-0.7457784098664462
1102	70-71	-0.6355218857815856
1102	72-73	-1.008614186497141
1102	74-75	-0.9323788805206377
1102	76-77	-0.8545526939015815
1102	78-79	-0.930667452997632
1102	80-81	-1.1072152944644174
1102	82-83	-1.0926510648330279
1102	84-85	-1.1201890344304353
1102	86-87	-1.3425915430167166
1102	88-89	-1.3671525292468942
1102	90	-1.3619300491694055
1103	1	-0.2398516789506715
1103	2	-0.23753197738648169
1103	3	-0.2276200404270483
1103	4	-0.21809395602486603
1103	5	-0.2657312262677394
1103	6	-0.22188819272795968
1103	7	-0.2484169089442858
1103	8	-0.20673163456272192
1103	9	-0.10898880061277794
1103	10-11	-0.19116185854975498
1103	12-13	-0.14689267418587093
1103	14-15	0.014644955495946022
1103	16-17	0.04272079180994126
1103	18-19	0.009421616680235445
1103	20-21	0.02239526371985079
1103	22-23	0.05300847685035848
1103	24-25	-0.028063135578392462
1103	26-27	0.05275284401849234
1103	28-29	0.005268459098353162
1103	30-31	0.09137177104580019
1103	32-33	-0.061901163607807064
1103	34-35	-0.10463158751461066
1103	36-37	-0.07033314272279512
1103	38-39	-0.10858716606645658
1103	40-41	-0.08859299031752954
1103	42-43	0.01299009774323423
1103	44-45	0.07446734735483318
1103	46-47	-0.07772540516249649
1103	48-49	-0.04868115999946809
1103	50-51	0.017612149415306533
1103	52-53	0.08922930363655013
1103	54-55	0.12040007921270046
1103	56-57	0.05034448604305908
1103	58-59	0.17336504517788853
1103	60-61	0.0933964465212398
1103	62-63	0.1672385080198353
1103	64-65	0.030311040066564487
1103	66-67	-0.10495386115886163
1103	68-69	-0.1773540711219752
1103	70-71	-0.12327825237635892
1103	72-73	-0.07338340926173714
1103	74-75	-3.562332280964142E-4
1103	76-77	-0.11949952857823831
1103	78-79	-0.44105337459297544
1103	80-81	-0.12373958780077743
1103	82-83	-0.33278189693655946
1103	84-85	-0.3124072203766275
1103	86-87	-0.4827405856624942
1103	88-89	-0.49832401106473156
1103	90	-0.5911227308964264
1104	1	-0.3215714410529955
1104	2	-0.28732496818076214
1104	3	-0.22217002891446924
1104	4	-0.22139205652172222
1104	5	-0.24683828746107395
1104	6	-0.19247319104088945
1104	7	-0.2545591233273399
1104	8	-0.2759729193955138
1104	9	-0.2114985428613423
1104	10-11	-0.14830791190730253
1104	12-13	-0.12938088284304428
1104	14-15	-0.14627302425638788
1104	16-17	-0.07034106187459344
1104	18-19	-0.08030337025045498
1104	20-21	-0.130367248426289
1104	22-23	-0.10128506350666555
1104	24-25	-0.19955096627542446
1104	26-27	-0.10545750745548332
1104	28-29	-0.1101531112753591
1104	30-31	-0.1008959029353349
1104	32-33	-0.07528326972917654
1104	34-35	-0.008028739635605575
1104	36-37	-0.035728067630365956
1104	38-39	-0.10721760358790533
1104	40-41	-0.03301474749913069
1104	42-43	-0.01965023625189133
1104	44-45	-0.03760000774958172
1104	46-47	-0.028735398660423073
